,日期,本益比,殖利率,股價淨值比,股價
41,104/03/13,12.98,6.54,1.36,39.90013
42,104/03/16,12.66,6.71,1.33,40.55018
43,104/03/17,12.62,6.73,1.32,41.00015
44,104/03/18,12.63,6.72,1.32,42.00017
45,104/03/19,12.77,6.65,1.34,41.50021
46,104/03/20,12.85,6.61,1.35,40.80016
47,104/03/23,12.63,6.72,1.32,40.25011
48,104/03/24,12.65,6.72,1.32,41.00015
49,104/03/25,12.31,6.9,1.29,40.50019
50,104/03/26,12.48,4.98,1.31,42.00017
51,104/03/27,12.52,4.96,1.31,42.20015
52,104/03/30,12.6,4.93,1.26,41.15014
53,104/03/31,14.53,4.98,1.25,41.00015
54,104/04/01,14.37,5.04,1.24,41.05014
55,104/04/02,14.52,4.99,1.25,41.50021
56,104/04/07,14.77,4.9,1.27,41.75019
57,104/04/08,14.39,5.03,1.24,41.05014
58,104/04/09,14.48,5.0,1.25,41.10014
59,104/04/10,14.28,5.07,1.23,40.00012
60,104/04/13,14.12,5.13,1.22,40.55018
61,104/04/14,13.85,5.23,1.19,40.70017
62,104/04/15,13.71,5.28,1.18,40.95015
63,104/04/16,13.89,5.21,1.2,40.55018
64,104/04/17,14.03,5.16,1.21,40.10012
65,104/04/20,13.69,5.29,1.18,40.50019
66,104/04/21,13.69,5.29,1.18,40.50019
67,104/04/22,13.96,5.19,1.2,40.50019
68,104/04/23,14.09,5.14,1.21,41.20013
69,104/04/24,14.18,5.11,1.22,40.15021
70,104/04/27,14.5,4.99,1.25,40.4002
71,104/04/28,14.28,5.07,1.23,39.85014
72,104/04/29,14.28,5.07,1.23,39.40017
73,104/04/30,13.91,5.21,1.2,38.65013
74,104/05/04,14.0,5.17,1.21,38.25017
75,104/05/05,14.03,5.16,1.21,38.75012
76,104/05/06,14.05,5.15,1.21,39.15019
77,104/05/07,13.76,5.26,1.19,38.20017
78,104/05/08,13.85,5.23,1.19,38.20017
79,104/05/11,13.76,5.26,1.19,38.95021
