鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
汐止區,房地(土地+建物),新北市汐止區龍安路28巷1~30號,0.0,商,,,1060107,土地1建物1車位0,四層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860703,83.98,2,2,1,有,有,無,18000,214,,0.0,0,,RPSNMLTJJHMFFDF68CC
新莊區,房地(土地+建物),新北市新莊區建國二路61~90號,1350.0,工,,,1060106,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0770504,600.2,0,0,0,無,無,無,180000,,,0.0,0,,RPVRMLTJJHMFFBF56CC
新莊區,房地(土地+建物)+車位,新北市新莊區福德三街1~30號,30.16,住,,,1051231,土地1建物1車位1,十四層,17,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010425,192.2,4,2,2,有,有,無,34000,177,坡道平面,32.56,0,,RPSSMLTJJHMFFBF98CC
新莊區,房地(土地+建物)+車位,新北市新莊區思源路370巷61~90號,20.14,住,,,1051229,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010110,130.11,3,2,2,有,有,有,31000,238,坡道平面,17.71,0,,RPTSMLTJJHMFFBF09CC
泰山區,房地(土地+建物),新北市泰山區和平街1~30號,95.57,住,,,1051227,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0971127,79.35,2,2,1,有,無,有,15000,189,,0.0,0,,RPVSMLTJJHMFFBF66CC
泰山區,房地(土地+建物)+車位,新北市泰山區信華六街1~30號,15.12,住,,,1051226,土地1建物1車位1,九層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020503,110.91,1,1,1,有,有,有,18000,162,坡道平面,35.06,0,,RPWSMLTJJHMFFBF76CC
新莊區,房地(土地+建物)+車位,新北市新莊區化成路121~150號,23.28,工,,,1051226,土地1建物1車位1,二層,5,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0840114,143.92,3,2,3,有,無,有,20000,139,坡道平面,0.0,0,,RPPTMLTJJHMFFBF78CC
新莊區,房地(土地+建物),新北市新莊區福壽街14巷1~30號,23.42,住,,,1051225,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870307,139.82,4,2,2,有,有,無,22000,157,,0.0,0,,RPSTMLTJJHMFFBF09CC
五股區,房地(土地+建物),新北市五股區芳洲路31~60號,15.92,住,,,1051224,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040824,72.85,1,0,1,有,有,有,13000,178,,0.0,0,,RPUTMLTJJHMFFBF66CC
新莊區,房地(土地+建物),新北市新莊區中原東路91~120號,11.37,商,,,1051224,土地1建物1車位0,九層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040429,121.14,1,1,1,有,有,無,19000,157,,0.0,0,,RPWTMLTJJHMFFBF86CC
三重區,建物,新北市三重區明志街1~30號,0.0,住,,,1051218,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0730620,91.33,3,2,2,有,無,無,20000,219,,0.0,0,,RPRQMLTJJHMFFGF56CC
中和區,房地(土地+建物),新北市中和區中山路三段31~60號,22.23,住,,,1051115,土地1建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960516,118.7,0,0,0,無,有,無,60000,505,,0.0,0,,RPVOMLTJJHMFFHF96DC
板橋區,土地,中山段511~540地號,417.0,住,,,1060106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,50000,120,,0.0,0,含未辦保存登計建物。,RPVPMLTJJHMFFAF09EC
板橋區,房地(土地+建物),新北市土城區四川路1~30號,84.53,工,,,1051125,土地4建物1車位0,見其他登記事項,3,店面(店鋪),住家用,加強磚造,0581128,203.91,0,0,0,無,無,無,55000,270,,0.0,0,,RPURMLKKJHMFFAF38EC
板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段361~390號,6.21,住,,,1051105,土地1建物1車位1,十九層,43,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,156.95,3,2,2,有,有,有,38000,242,坡道平面,33.7,0,租金含管理費。撤銷原申報書序號C1FA10512010053,RPVRMLKKJHMFFAF48EC
淡水區,房地(土地+建物),新北市淡水區中正路31~60號,75.29,商,,,1060101,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,加強磚造,0560201,153.0,0,0,0,無,無,無,80000,523,,0.0,0,,RPWTMLKKJHMFFEF56EC
三重區,建物,新北市三重區光華路61~90號,0.0,工,,,1051224,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0841030,330.57,4,2,3,有,有,無,32000,97,,0.0,0,,RPXNMLKKJHMFFGF68CC
泰山區,建物,新北市泰山區信華一街31~60號,0.0,住,,,1051222,土地0建物1車位1,二十層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030911,290.90999999999997,3,2,3,有,有,有,36000,124,坡道平面,27.05,0,,RPTPMLKKJHMFFBF97CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段91~120號,24.34,工,,,1051226,土地2建物1車位0,二十七層,35,廠辦,工業用,見其他登記事項,1031013,327.82,0,0,0,無,有,無,57519,175,,0.0,0,"106/1/1-106/2/28 免租期106/3/1-108/12/31 租金57,519元/月109/1/1-111/12/31 租金59,204元/月112/1/1-114/12/31 租金60,990元/月115/1/1-115/12/31 租金62,874元/月",RPROMLKKJHMFFDF87CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段91~120號,23.57,工,,,1051226,土地2建物1車位0,二十七層,35,廠辦,工業用,見其他登記事項,1031013,314.31,0,0,0,無,有,無,55146,175,,0.0,0,"106/1/1-106/2/28 免租期106/3/1-108/12/31 租金55,146元/月109/1/1-111/12/31 租金56,763元/月112/1/1-114/12/31 租金58,473元/月115/1/1-115/12/31 租金60,281元/月",RPSOMLKKJHMFFDF97CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段91~120號,24.49,工,,,1051229,土地2建物1車位1,二十九層,35,廠辦,工業用,見其他登記事項,1031013,364.91999999999996,0,0,0,無,有,無,78869,230,坡道平面,37.1,3500,"105/12/29-106/2/28 免租期106/3/1-109/2/28 租金78,869元/月",RPTOMLKKJHMFFDF08CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段91~120號,32.45,工,,,1051224,土地2建物1車位1,十六層,35,廠辦,工業用,見其他登記事項,1031013,470.61,0,0,0,無,有,無,88740,197,坡道平面,37.1,3500,"105/12/24-106/2/15 免租期106/2/16-109/2/15 租金88,740元/月109/2/16-111/2/15 租金91,299元/月",RPUOMLKKJHMFFDF18CC
新店區,房地(土地+建物),新北市新店區建國路198巷1~30號,29.39,住,,,1051213,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0570912,91.96,0,0,0,無,無,無,30000,326,,0.0,0,,RPQOMLKKJHMFFCF67CC
淡水區,建物,新北市淡水區淡金路38巷1~30號,0.0,住,,,1051215,土地0建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980218,113.57999999999998,3,2,1,有,有,有,21800,192,,0.0,0,租金含管理費。,RPXUMLKKJHMFFEF56CC
淡水區,建物,新北市淡水區民族路50巷1~30號,0.0,商,,,1051221,土地0建物1車位0,九層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0870819,39.67,1,1,1,有,有,無,10500,265,,0.0,0,,RPWVMLLKJHMFFEF66CC
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,6.12,工,,,1051217,土地1建物1車位0,十九層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,57.72,2,1,1,有,有,有,16500,286,,0.0,0,租金含管理費。,RPUPNLLKJHMFFEF58CC
