鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
龜山區,土地,振三段961~990地號,16.46,其他,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,547130,33240,,0.0,0,,RPVNMLNLJHMFFHH56EA
蘆竹區,土地,南華段241~270地號,15.71,商,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3026249,192632,,0.0,0,向政府機關承購之案件。,RPWNMLOKKHMFFEH09EA
蘆竹區,土地,南華段241~270地號,30.14,商,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5123951,170005,,0.0,0,向政府機關承購之案件。,RPXNMLOKKHMFFEH56EA
中壢區,房地(土地+建物),桃園市中壢區廈門街31~60號,4.03,住,,,1051201,土地1建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830701,23.01,1,0,1,有,無,1180000,51282,,0.0,0,,RPOPMLNKKHMFFBH97DA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔六街151~180號,21.82,住,,,1051101,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930723,137.99,3,2,2,有,有,10600000,76817,坡道平面,0.0,0,,RPWQMLKKKHMFFAH58EA
桃園區,土地,埔子段埔子小段1621~1650地號,31.88,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1640625,51463,,0.0,0,私設巷道、共有人共17人,RPXNMLNJKHMFFAH58EA
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路271~300號,6.69,住,,,1051201,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870402,112.05,3,2,2,有,有,2300000,20527,升降機械,0.0,0,二親等買賣,RPXNMLQJKHMFFAH88EA
龍潭區,房地(土地+建物),桃園市龍潭區健行路413巷1~30號,73.56,,鄉村區,乙種建築用地,1051101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700615,70.82,3,2,2,有,無,3800000,53657,,0.0,0,,RPSOMLOLJHMFFCH48DA
龜山區,土地,振三段961~990地號,94.72,其他,,,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2772999,29276,,0.0,0,,RPVNMLTLKILFFHH27EA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區民族路301~330號,26.3,,一般農業區,甲種建築用地,1051201,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840529,74.08,2,1,1,有,有,2000000,26998,一樓平面,0.0,0,,RPQNMLKMKILFFCH08EA
