鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大村鄉,土地,福興段931~960地號,2.63,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52425,19933,,0.0,0,,RPRNMLOJJHMFFDN78DA
員林鎮,土地,鎮興段751~780地號,142.92,農,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1080860,7563,,0.0,0,,RPTNMLOJJHMFFDN98DA
員林鎮,房地(土地+建物),彰化縣員林市香山路1~30號,79.25,,鄉村區,乙種建築用地,1051101,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0980714,185.29,4,2,3,有,無,5000000,26985,,0.0,0,親友間之交易。,RPWQMLPJJHMFFDN07DA
田尾鄉,土地,芳富段1231~1260地號,562.45,工,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6805600,12100,,0.0,0,,RPRNMLNJJHMFFFN88DA
大城鄉,土地,上興段1141~1170地號,300.0,,一般農業區,農牧用地,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,331800,1106,,0.0,0,,RPQOMLOJJHMFFGN09DA
大城鄉,土地,尤仕段781~810地號,258.0,,一般農業區,農牧用地,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,351000,1360,,0.0,0,抵費地,RPUNMLTJJHMFFGN27DA
北斗鎮,土地,光復段1411~1440地號,44.5,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1020803,22939,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPTNMLQJJHMFFFN76DA
二林鎮,房地(土地+建物),彰化縣二林鎮照西南路271~300號,104.56,住,,,1051101,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950823,204.94,4,2,4,有,無,5800000,28301,,0.0,0,,RPRNMLNLJHMFFGN56DA
芳苑鄉,土地,芳義段121~150地號,392.42,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,510146,1300,,0.0,0,,RPUNMLQJJHMFFGN96DA
田尾鄉,土地,芳平段1231~1260地號,119.7,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,1671,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLPJJHMFFFN88DA
社頭鄉,房地(土地+建物),彰化縣社頭鄉民生路624巷南一弄1~30號,83.19,住,,,1051101,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0660705,86.0,0,0,0,無,無,2000000,23256,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLPJJHMFFEN78DA
溪湖鎮,土地,大發段181~210地號,46.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1087200,23635,,0.0,0,,RPTNMLKLJHMFFHN66EA
花壇鄉,土地,明德段661~690地號,24.27,住,,,1051201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,249940,10298,,0.0,0,,RPOPMLTJJHMFFAN88DA
花壇鄉,土地,明德段661~690地號,24.27,住,,,1051201,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,249940,10298,,0.0,0,,RPPPMLTJJHMFFAN98DA
溪湖鎮,土地,鳳山段841~870地號,3157.0,住,,,1051101,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,79000000,25024,,0.0,0,,RPPNMLPJJHMFFHN98CA
埔心鄉,土地,太平西段31~60地號,815.5,,特定農業區,農牧用地,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2460000,3017,,0.0,0,,RPPNMLQJJHMFFHN09CA
埔心鄉,房地(土地+建物),彰化縣埔心鄉信義路181~210號,1062.45,,特定農業區,農牧用地,1051101,土地1建物1車位0,全,一層,透天厝,農舍,見其他登記事項,1020321,51.86,0,0,0,無,無,6860000,132279,,0.0,0,,RPQNMLQJJHMFFHN56CA
溪湖鎮,土地,大竹段751~780地號,185.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7603500,41100,,0.0,0,,RPRNMLQJJHMFFHN66CA
埔心鄉,土地,太平西段691~720地號,387.65,,鄉村區,乙種建築用地,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,20637,,0.0,0,,RPPNMLPLJHMFFHN56CA
溪湖鎮,土地,湖西段271~300地號,55.0,住,,,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2495625,45375,,0.0,0,畸零地、特殊地形買賣。,RPUNMLNKJHMFFHN76CA
二林鎮,土地,挖子段241~270地號,1980.0,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,2525,,0.0,0,,RPSNMLPJJHMFFGN56CA
二林鎮,土地,萬興段柳子溝小段541~570地號,3188.67,,一般農業區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6058400,1900,,0.0,0,,RPOOMLQJJHMFFGN98CA
二林鎮,土地,萬興段柳子溝小段361~390地號,3577.0,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6400000,1789,,0.0,0,,RPPNMLTJJHMFFGN66CA
二林鎮,土地,復興段571~600地號,3455.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5873500,1700,,0.0,0,,RPPNMLNLJHMFFGN88CA
芳苑鄉,土地,芳墘段1171~1200地號,1317.11,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,797,,0.0,0,,RPQNMLNLJHMFFGN98CA
溪湖鎮,土地,東寮段841~870地號,13.0,其他,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,589875,45375,,0.0,0,,RPVNMLTJJHMFFHN37CA
