鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
草屯鎮,房地(土地+建物),南投縣草屯鎮碧洲里4鄰碧峰路842巷1~30號,100.94,,鄉村區,乙種建築用地,1051001,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051102,180.61,5,3,3,有,無,7900000,43741,,0.0,0,,RPOOMLRJKHMFFBM58CA
草屯鎮,房地(土地+建物),南投縣草屯鎮碧洲里4鄰碧峰路842巷1~30號,112.94,,鄉村區,乙種建築用地,1050401,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051102,204.99,5,3,3,有,無,10400000,50734,,0.0,0,,RPQOMLRJKHMFFBM78CA
草屯鎮,房地(土地+建物),南投縣草屯鎮大成街163巷1~30號,130.94,住,,,1051201,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040907,323.19,6,2,6,有,無,18000000,55695,,0.0,0,,RPSNMLTKJHMFFBM09CA
南投市,房地(土地+建物),南投縣南投市民族路168巷1~30號,66.0,商,,,1051201,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840616,204.05,6,2,4,有,無,6650000,32590,,0.0,0,,RPWNMLQLJHMFFAM56CA
南投市,房地(土地+建物),南投縣南投市文化路541~570號,128.0,住,,,1050901,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050413,261.9,5,3,6,有,無,17380000,66361,,0.0,0,,RPSNMLQLJHMFFAM78CA
南投市,房地(土地+建物),南投縣南投市文化路541~570號,120.0,住,,,1051101,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050413,261.9,5,3,6,有,無,15880000,60634,,0.0,0,,RPTNMLQLJHMFFAM88CA
名間鄉,土地,名松段751~780地號,15773.74,,一般農業區,農牧用地,1051201,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24000000,1522,,0.0,0,,RPQNMLMJKHMFFAM08CA
中寮鄉,房地(土地+建物),南投縣中寮鄉龍草路31~60號,525.33,,山坡地保育區,丙種建築用地,1051201,土地4建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0910919,80.92,2,2,1,有,無,3000000,37074,,0.0,0,,RPSNMLNLJHMFFAM48CA
南投市,土地,新豐段871~900地號,136.19,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3298000,24216,,0.0,0,,RPUOMLRKJHMFFAM09CA
中寮鄉,土地,龍眼林段931~960地號,3934.0,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,458,,0.0,0,,RPSNMLSKJHMFFAM88CA
南投市,房地(土地+建物),南投縣南投市仁愛路61巷1~30號,124.82,住,,,1051201,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041123,228.75,4,2,4,有,無,15200000,66448,,0.0,0,,RPTNMLSKJHMFFAM98CA
