鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
平鎮區,建物,桃園市平鎮區中正三路91~120號,0.0,商,,,1051201,土地0建物1車位1,十四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040930,197.0,5,2,3,有,有,無,17000,86,升降平面,3.89,0,,RPQOMLLKJHMFFGH38CC
平鎮區,建物,桃園市平鎮區東豐路526巷31~60號,0.0,,特定農業區,甲種建築用地,1051201,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030924,35.18,2,2,2,有,有,有,6000,171,,0.0,0,,RPROMLLKJHMFFGH48CC
平鎮區,建物,桃園市平鎮區大興街88巷31~60號,0.0,住,,,1051201,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1001118,221.65,5,2,4,有,無,無,22000,99,,0.0,0,,RPTOMLLKJHMFFGH68CC
楊梅區,建物,桃園市楊梅區金山街301~330號,0.0,住,,,1051201,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040525,125.47,3,2,2,有,有,無,12500,100,坡道平面,32.1,0,,RPROMLLKJHMFFDH18CC
中壢區,建物,桃園市中壢區忠孝路345巷1~30號,0.0,住,,,1051201,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661215,74.34,2,1,2,有,無,無,15000,202,,0.0,0,,RPSQMLLKJHMFFBH28CC
中壢區,建物,桃園市中壢區復華六街1~30號,0.0,住,,,1051201,土地0建物1車位1,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011128,162.85,4,2,2,有,有,有,20000,123,坡道平面,31.38,0,,RPUQMLLKJHMFFBH48CC
中壢區,建物,桃園市中壢區中央西路二段271~300號,0.0,住,,,1051201,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750916,130.73,4,2,2,有,有,無,12000,92,,0.0,0,,RPVQMLLKJHMFFBH58CC
八德區,房地(土地+建物),桃園市八德區介壽路二段685巷50弄61~90號,21.5,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0701020,84.0,3,1,2,有,無,無,12000,143,,0.0,0,,RPQNMLLKJHMFFFH28DC
八德區,房地(土地+建物),桃園市八德區介壽路二段428巷17弄2衖1~30號,25.29,,鄉村區,乙種建築用地,1060101,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691215,95.23,3,2,1,有,無,無,8000,84,,0.0,0,,RPRNMLLKJHMFFFH38DC
中壢區,建物,桃園市中壢區忠孝路168巷1~30號,0.0,住,,,1051201,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050719,89.56,3,2,2,有,有,有,15000,167,,0.0,0,,RPRNMLMKJHMFFBH97CC
